"","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","explicit","is_local","track_name","track_number","type","album_name","key_name","mode_name","key_mode"
"37","2015-05-15",2015,0.683,0.753,2,-5.564,0,0.0317,0.0577,0.00208,0.357,0.389,120.03,4,1,234946,FALSE,FALSE,"Hometown",12,"track","Blurryface","D","minor","D minor"
"38","2015-05-15",2015,0.77,0.706,2,-4.705,1,0.0302,0.0605,0.00182,0.0985,0.527,115.011,4,1,238040,FALSE,FALSE,"Not Today",13,"track","Blurryface","D","major","D major"
"39","2015-05-15",2015,0.565,0.437,6,-7.68,0,0.0403,0.194,7.14e-06,0.0656,0.217,96.132,3,1,236733,FALSE,FALSE,"Goner",14,"track","Blurryface","F#","minor","F# minor"
"40","2013-06-18",2013,0.633,0.14,10,-26.945,0,0.877,0.942,0,0.849,0.969,54.531,5,1,28787,FALSE,FALSE,"Intro - Live from SXSW",1,"track","Spotify Sessions","A#","minor","A# minor"
"41","2013-06-18",2013,0.427,0.415,4,-10.818,0,0.0479,0.00975,0.0221,0.234,0.441,75.064,4,1,333420,FALSE,FALSE,"Ode to Sleep - Live from SXSW",2,"track","Spotify Sessions","E","minor","E minor"
"42","2013-06-18",2013,0.721,0.406,0,-12.175,1,0.19,0.124,0.000415,0.155,0.297,86.944,4,1,321721,FALSE,FALSE,"Migraine - Live from SXSW",3,"track","Spotify Sessions","C","major","C major"
"43","2013-06-18",2013,0.739,0.458,0,-12.587,1,0.225,0.0447,5.13e-06,0.151,0.68,74.998,4,1,245033,FALSE,FALSE,"Screen - Live from SXSW",4,"track","Spotify Sessions","C","major","C major"
"44","2013-06-18",2013,0.65,0.502,11,-12.458,1,0.0935,0.037,0.000207,0.106,0.296,89.988,4,1,355329,FALSE,FALSE,"Holding on to You - Live from SXSW",5,"track","Spotify Sessions","B","major","B major"
"45","2013-06-18",2013,0.582,0.348,9,-13.744,0,0.0497,0.0826,0.00015,0.153,0.293,130.802,4,1,335092,FALSE,FALSE,"Car Radio - Live from SXSW",6,"track","Spotify Sessions","A","minor","A minor"
"46","2013-06-18",2013,0.729,0.525,6,-11.047,1,0.034,0.00935,0.0903,0.514,0.43,129.903,4,1,365863,FALSE,FALSE,"Guns for Hands - Live from SXSW",7,"track","Spotify Sessions","F#","major","F# major"
"47","2013-01-08",2013,0.702,0.177,9,-25.519,1,0.949,0.677,0,0.494,0.602,132.928,5,1,63229,FALSE,FALSE,"Ode to Sleep - Bonus Commentary",1,"track","Vessel","A","major","A major"
"48","2013-01-08",2013,0.794,0.169,6,-25.343,0,0.927,0.656,0,0.176,0.621,60.463,4,1,81237,FALSE,FALSE,"Holding on to You - Bonus Commentary",2,"track","Vessel","F#","minor","F# minor"
"49","2013-01-08",2013,0.676,0.125,8,-25.227,1,0.957,0.736,0,0.252,0.422,145.458,3,1,61986,FALSE,FALSE,"Migraine - Bonus Commentary",3,"track","Vessel","G#","major","G# major"
"50","2013-01-08",2013,0.709,0.106,9,-25.285,1,0.94,0.739,0,0.153,0.409,111.363,4,1,70448,FALSE,FALSE,"House of Gold - Bonus Commentary",4,"track","Vessel","A","major","A major"
"51","2013-01-08",2013,0.642,0.186,11,-26.326,1,0.942,0.654,0,0.167,0.479,80.754,3,1,109798,FALSE,FALSE,"Car Radio - Bonus Commentary",5,"track","Vessel","B","major","B major"
"52","2013-01-08",2013,0.648,0.163,1,-27.099,1,0.95,0.686,0,0.368,0.345,92.266,5,1,96258,FALSE,FALSE,"Semi-Automatic - Bonus Commentary",6,"track","Vessel","C#","major","C# major"
"53","2013-01-08",2013,0.738,0.154,0,-28.251,1,0.949,0.729,0,0.608,0.404,76.151,3,1,69073,FALSE,FALSE,"Screen - Bonus Commentary",7,"track","Vessel","C","major","C major"
"54","2013-01-08",2013,0.746,0.121,1,-26.296,1,0.949,0.752,0,0.842,0.659,80.654,4,1,86844,FALSE,FALSE,"The Run and Go - Bonus Commentary",8,"track","Vessel","C#","major","C# major"
"55","2013-01-08",2013,0.624,0.205,1,-27.435,1,0.959,0.746,0,0.436,0.412,83.492,5,1,63467,FALSE,FALSE,"Fake You Out - Bonus Commentary",9,"track","Vessel","C#","major","C# major"
"56","2013-01-08",2013,0.677,0.201,9,-27.235,1,0.952,0.652,0,0.127,0.402,99.734,4,1,204575,FALSE,FALSE,"Guns for Hands - Bonus Commentary",10,"track","Vessel","A","major","A major"
"57","2013-01-08",2013,0.683,0.182,3,-29.028,1,0.958,0.584,0,0.262,0.383,88.791,5,1,64524,FALSE,FALSE,"Trees - Bonus Commentary",11,"track","Vessel","D#","major","D# major"
"58","2013-01-08",2013,0.731,0.232,8,-27.719,1,0.955,0.692,0,0.321,0.416,85.986,1,1,124183,FALSE,FALSE,"Truce - Bonus Commentary",12,"track","Vessel","G#","major","G# major"
"59","2013-01-08",2013,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,4,1,308388,FALSE,FALSE,"Ode to Sleep",1,"track","Vessel","G","major","G major"
"60","2013-01-08",2013,0.608,0.776,11,-3.635,1,0.0511,0.241,0,0.0713,0.814,89.996,4,1,263733,FALSE,FALSE,"Holding on to You",2,"track","Vessel","B","major","B major"
"61","2013-01-08",2013,0.69,0.678,0,-6.52,1,0.154,0.11,0,0.246,0.409,173.995,4,1,239014,FALSE,FALSE,"Migraine",3,"track","Vessel","C","major","C major"
"62","2013-01-08",2013,0.68,0.693,0,-7.234,1,0.0435,0.445,0,0.208,0.851,114.948,4,1,163880,FALSE,FALSE,"House of Gold",4,"track","Vessel","C","major","C major"
"63","2013-01-08",2013,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,4,1,267720,FALSE,FALSE,"Car Radio",5,"track","Vessel","A","minor","A minor"
"64","2013-01-08",2013,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,4,1,253680,FALSE,FALSE,"Semi-Automatic",6,"track","Vessel","F#","minor","F# minor"
"65","2013-01-08",2013,0.718,0.714,0,-5.699,1,0.0622,0.0963,0,0.141,0.84,149.949,4,1,229120,FALSE,FALSE,"Screen",7,"track","Vessel","C","major","C major"
"66","2013-01-08",2013,0.798,0.318,10,-6.849,0,0.0431,0.0437,0,0.158,0.425,92.49,4,1,229000,FALSE,FALSE,"The Run and Go",8,"track","Vessel","A#","minor","A# minor"
"67","2013-01-08",2013,0.84,0.608,6,-6.176,1,0.0458,0.248,1.25e-06,0.0874,0.727,115.012,4,1,231320,FALSE,FALSE,"Fake You Out",9,"track","Vessel","F#","major","F# major"
"68","2013-01-08",2013,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,4,1,273335,FALSE,FALSE,"Guns for Hands",10,"track","Vessel","C#","major","C# major"
"69","2013-01-08",2013,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,4,1,267386,FALSE,FALSE,"Trees",11,"track","Vessel","F#","major","F# major"
"70","2013-01-08",2013,0.537,0.0231,7,-14.407,1,0.0475,0.994,0.0471,0.146,0.342,120.322,4,1,142546,FALSE,FALSE,"Truce",12,"track","Vessel","G","major","G major"
"71","2013-01-08",2013,0.68,0.765,7,-6.35,1,0.0355,0.142,0,0.0905,0.527,119.977,4,1,258781,FALSE,FALSE,"Lovely - Bonus Track",13,"track","Vessel","G","major","G major"
"72","2013-01-08",2013,0.532,0.809,11,-11.001,1,0.0797,0.0373,0.000786,0.727,0.522,89.958,4,1,319442,FALSE,FALSE,"Holding on to You - Live at the Newport Music Hall",14,"track","Vessel","B","major","B major"
"73","2013-01-08",2013,0.501,0.53,9,-13.256,0,0.0346,0.00624,0.0031,0.705,0.35,130,4,1,286389,FALSE,FALSE,"Car Radio - Live at the Newport Music Hall",15,"track","Vessel","A","minor","A minor"
"74","2013-01-08",2013,0.592,0.852,6,-4.641,1,0.0299,0.000163,0.00834,0.0986,0.278,127.971,4,1,303753,FALSE,FALSE,"Guns for Hands - Dzeko & Torres Remix",16,"track","Vessel","F#","major","F# major"
"75","2013-01-08",2013,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,4,1,308388,FALSE,FALSE,"Ode to Sleep",1,"track","Vessel","G","major","G major"
"76","2013-01-08",2013,0.608,0.776,11,-3.635,1,0.0511,0.241,0,0.0713,0.814,89.996,4,1,263733,FALSE,FALSE,"Holding on to You",2,"track","Vessel","B","major","B major"
"77","2013-01-08",2013,0.69,0.678,0,-6.52,1,0.154,0.11,0,0.246,0.409,173.995,4,1,239014,FALSE,FALSE,"Migraine",3,"track","Vessel","C","major","C major"
"78","2013-01-08",2013,0.68,0.693,0,-7.234,1,0.0435,0.445,0,0.208,0.851,114.948,4,1,163880,FALSE,FALSE,"House of Gold",4,"track","Vessel","C","major","C major"
"79","2013-01-08",2013,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,4,1,267720,FALSE,FALSE,"Car Radio",5,"track","Vessel","A","minor","A minor"
"80","2013-01-08",2013,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,4,1,253680,FALSE,FALSE,"Semi-Automatic",6,"track","Vessel","F#","minor","F# minor"
"81","2013-01-08",2013,0.718,0.714,0,-5.699,1,0.0622,0.0963,0,0.141,0.84,149.949,4,1,229120,FALSE,FALSE,"Screen",7,"track","Vessel","C","major","C major"
"82","2013-01-08",2013,0.798,0.318,10,-6.849,0,0.0431,0.0437,0,0.158,0.425,92.49,4,1,229000,FALSE,FALSE,"The Run and Go",8,"track","Vessel","A#","minor","A# minor"
"83","2013-01-08",2013,0.84,0.608,6,-6.176,1,0.0458,0.248,1.25e-06,0.0874,0.727,115.012,4,1,231320,FALSE,FALSE,"Fake You Out",9,"track","Vessel","F#","major","F# major"
"84","2013-01-08",2013,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,4,1,273335,FALSE,FALSE,"Guns for Hands",10,"track","Vessel","C#","major","C# major"
"85","2013-01-08",2013,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,4,1,267386,FALSE,FALSE,"Trees",11,"track","Vessel","F#","major","F# major"
"86","2013-01-08",2013,0.537,0.0231,7,-14.407,1,0.0475,0.994,0.0471,0.146,0.342,120.322,4,1,142546,FALSE,FALSE,"Truce",12,"track","Vessel","G","major","G major"
"87","2013-01-08",2013,0.608,0.937,6,-5.526,1,0.137,0.102,0.00132,0.449,0.484,129.846,4,1,361448,FALSE,FALSE,"Guns for Hands - Live at the LC Pavilion",13,"track","Vessel","F#","major","F# major"
"88","2013-01-08",2013,0.426,0.759,6,-6.644,1,0.0446,0.0253,0.00011,0.785,0.226,140.029,4,1,370808,FALSE,FALSE,"Trees - Live at the LC Pavilion",14,"track","Vessel","F#","major","F# major"
"89","2013-01-08",2013,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,4,1,308388,FALSE,FALSE,"Ode to Sleep",1,"track","Vessel","G","major","G major"
"90","2013-01-08",2013,0.608,0.776,11,-3.635,1,0.0511,0.241,0,0.0713,0.814,89.996,4,1,263733,FALSE,FALSE,"Holding on to You",2,"track","Vessel","B","major","B major"
"91","2013-01-08",2013,0.69,0.678,0,-6.52,1,0.154,0.11,0,0.246,0.409,173.995,4,1,239014,FALSE,FALSE,"Migraine",3,"track","Vessel","C","major","C major"
"92","2013-01-08",2013,0.68,0.693,0,-7.234,1,0.0435,0.445,0,0.208,0.851,114.948,4,1,163880,FALSE,FALSE,"House of Gold",4,"track","Vessel","C","major","C major"
"93","2013-01-08",2013,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,4,1,267720,FALSE,FALSE,"Car Radio",5,"track","Vessel","A","minor","A minor"
"94","2013-01-08",2013,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,4,1,253680,FALSE,FALSE,"Semi-Automatic",6,"track","Vessel","F#","minor","F# minor"
"95","2013-01-08",2013,0.718,0.714,0,-5.699,1,0.0622,0.0963,0,0.141,0.84,149.949,4,1,229120,FALSE,FALSE,"Screen",7,"track","Vessel","C","major","C major"
"96","2013-01-08",2013,0.798,0.318,10,-6.849,0,0.0431,0.0437,0,0.158,0.425,92.49,4,1,229000,FALSE,FALSE,"The Run and Go",8,"track","Vessel","A#","minor","A# minor"
"97","2013-01-08",2013,0.84,0.608,6,-6.176,1,0.0458,0.248,1.25e-06,0.0874,0.727,115.012,4,1,231320,FALSE,FALSE,"Fake You Out",9,"track","Vessel","F#","major","F# major"
"98","2013-01-08",2013,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,4,1,273335,FALSE,FALSE,"Guns for Hands",10,"track","Vessel","C#","major","C# major"
"99","2013-01-08",2013,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,4,1,267386,FALSE,FALSE,"Trees",11,"track","Vessel","F#","major","F# major"
"100","2013-01-08",2013,0.537,0.0231,7,-14.407,1,0.0475,0.994,0.0471,0.146,0.342,120.322,4,1,142546,FALSE,FALSE,"Truce",12,"track","Vessel","G","major","G major"
"101","2013-01-08",2013,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,4,1,308388,FALSE,FALSE,"Ode to Sleep",1,"track","Vessel (with Bonus Tracks)","G","major","G major"
"102","2013-01-08",2013,0.608,0.776,11,-3.635,1,0.0511,0.241,0,0.0713,0.814,89.996,4,1,263733,FALSE,FALSE,"Holding on to You",2,"track","Vessel (with Bonus Tracks)","B","major","B major"
"103","2013-01-08",2013,0.69,0.678,0,-6.52,1,0.154,0.11,0,0.246,0.409,173.995,4,1,239014,FALSE,FALSE,"Migraine",3,"track","Vessel (with Bonus Tracks)","C","major","C major"
"104","2013-01-08",2013,0.68,0.693,0,-7.234,1,0.0435,0.445,0,0.208,0.851,114.948,4,1,163880,FALSE,FALSE,"House of Gold",4,"track","Vessel (with Bonus Tracks)","C","major","C major"
"105","2013-01-08",2013,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,4,1,267720,FALSE,FALSE,"Car Radio",5,"track","Vessel (with Bonus Tracks)","A","minor","A minor"
"106","2013-01-08",2013,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,4,1,253680,FALSE,FALSE,"Semi-Automatic",6,"track","Vessel (with Bonus Tracks)","F#","minor","F# minor"
"107","2013-01-08",2013,0.718,0.714,0,-5.699,1,0.0622,0.0963,0,0.141,0.84,149.949,4,1,229120,FALSE,FALSE,"Screen",7,"track","Vessel (with Bonus Tracks)","C","major","C major"
"108","2013-01-08",2013,0.798,0.318,10,-6.849,0,0.0431,0.0437,0,0.158,0.425,92.49,4,1,229000,FALSE,FALSE,"The Run and Go",8,"track","Vessel (with Bonus Tracks)","A#","minor","A# minor"
"109","2013-01-08",2013,0.84,0.608,6,-6.176,1,0.0458,0.248,1.25e-06,0.0874,0.727,115.012,4,1,231320,FALSE,FALSE,"Fake You Out",9,"track","Vessel (with Bonus Tracks)","F#","major","F# major"
"110","2013-01-08",2013,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,4,1,273335,FALSE,FALSE,"Guns for Hands",10,"track","Vessel (with Bonus Tracks)","C#","major","C# major"
"111","2013-01-08",2013,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,4,1,267386,FALSE,FALSE,"Trees",11,"track","Vessel (with Bonus Tracks)","F#","major","F# major"
"112","2013-01-08",2013,0.537,0.0231,7,-14.407,1,0.0475,0.994,0.0471,0.146,0.342,120.322,4,1,142546,FALSE,FALSE,"Truce",12,"track","Vessel (with Bonus Tracks)","G","major","G major"
"113","2013-01-08",2013,0.582,0.594,3,-7.254,1,0.0502,0.325,0,0.0952,0.803,169.949,4,1,266306,FALSE,FALSE,"Glowing Eyes - Bonus Track",13,"track","Vessel (with Bonus Tracks)","D#","major","D# major"
"114","2013-01-08",2013,0.652,0.594,11,-7.954,1,0.0436,0.459,0.000442,0.0938,0.511,120.018,4,1,334000,FALSE,FALSE,"Kitchen Sink - Bonus Track",14,"track","Vessel (with Bonus Tracks)","B","major","B major"
"115","2013-01-08",2013,0.68,0.765,7,-6.35,1,0.0355,0.142,0,0.0905,0.527,119.977,4,1,258781,FALSE,FALSE,"Lovely - Bonus Track",15,"track","Vessel (with Bonus Tracks)","G","major","G major"
"116","2013-01-08",2013,0.694,0.66,5,-6.175,1,0.0463,0.386,0,0.0703,0.559,119.959,4,1,246008,FALSE,FALSE,"Forest - Bonus Track",16,"track","Vessel (with Bonus Tracks)","F","major","F major"
"117","2009-12-29",2009,0.495,0.262,9,-10.572,0,0.0292,0.635,0.00486,0.104,0.287,159.986,3,1,291933,FALSE,FALSE,"Implicit Demand For Proof",1,"track","Twenty One Pilots","A","minor","A minor"
"118","2009-12-29",2009,0.816,0.766,5,-5.176,1,0.0565,0.238,0.0127,0.0893,0.696,120.011,4,1,182000,FALSE,FALSE,"Fall Away",2,"track","Twenty One Pilots","F","major","F major"
"119","2009-12-29",2009,0.733,0.636,9,-6.693,1,0.0299,0.158,0,0.32,0.591,99.996,4,1,213200,FALSE,FALSE,"The Pantaloon",3,"track","Twenty One Pilots","A","major","A major"
"120","2009-12-29",2009,0.553,0.787,7,-7.827,1,0.0931,0.149,3.25e-05,0.102,0.298,139.841,4,1,286506,FALSE,FALSE,"Addict With A Pen",4,"track","Twenty One Pilots","G","major","G major"
"121","2009-12-29",2009,0.228,0.517,7,-9.167,0,0.0401,0.391,0,0.29,0.204,109.83,3,1,252906,FALSE,FALSE,"Friend, Please",5,"track","Twenty One Pilots","G","minor","G minor"
"122","2009-12-29",2009,0.693,0.496,7,-10.146,1,0.0444,0.473,1.14e-05,0.0738,0.149,124.959,4,1,331760,FALSE,FALSE,"March To The Sea",6,"track","Twenty One Pilots","G","major","G major"
"123","2009-12-29",2009,0.561,0.841,0,-4.311,1,0.0515,0.00525,4.53e-05,0.24,0.356,114.943,4,1,279053,FALSE,FALSE,"Johnny Boy",7,"track","Twenty One Pilots","C","major","C major"
"124","2009-12-29",2009,0.501,0.328,0,-8.329,1,0.0255,0.612,0,0.15,0.263,73.326,4,1,217000,FALSE,FALSE,"Oh Ms Believer",8,"track","Twenty One Pilots","C","major","C major"
"125","2009-12-29",2009,0.519,0.436,8,-8.064,1,0.0285,0.0731,0,0.107,0.133,109.962,4,1,254000,FALSE,FALSE,"Air Catcher",9,"track","Twenty One Pilots","G#","major","G# major"
"126","2009-12-29",2009,0.55,0.625,1,-8.213,0,0.0399,0.149,0,0.161,0.317,149.927,3,1,277013,FALSE,FALSE,"Trapdoor",10,"track","Twenty One Pilots","C#","minor","C# minor"
"127","2009-12-29",2009,0.618,0.732,5,-4.609,1,0.0724,0.147,9.23e-06,0.0925,0.444,140.086,4,1,273786,FALSE,FALSE,"A Car, A Torch, A Death",11,"track","Twenty One Pilots","F","major","F major"
"128","2009-12-29",2009,0.567,0.572,9,-7.694,1,0.0318,0.166,0,0.103,0.205,138.062,4,1,285733,FALSE,FALSE,"Taxi Cab",12,"track","Twenty One Pilots","A","major","A major"
"129","2009-12-29",2009,0.363,0.135,7,-11.166,0,0.0295,0.976,0.000265,0.107,0.195,98.45,4,1,233000,FALSE,FALSE,"Before You Start Your Day",13,"track","Twenty One Pilots","G","minor","G minor"
"130","2009-12-29",2009,0.753,0.421,7,-6.988,1,0.0551,0.103,4.03e-05,0.139,0.134,140.031,4,1,345506,FALSE,FALSE,"Isle Of Flightless Birds",14,"track","Twenty One Pilots","G","major","G major"
